Name;Adresse;Email;Telefon;Fax;Webseite;Kategorien
Albertstraße;;;;;;Glascontainer
Alemannenstraße;;;;;;Glascontainer,Kleidercontainer
Alemannenstraße;;;;;;Glascontainer,Kleidercontainer
Am Bischofskreuz;;;;;;Glascontainer
Am Sportplatz;;;;;;Glascontainer
Am Wäldele;;;;;;Glascontainer
Andlawstraße;;;;;;Glascontainer
Andreas-Hofer-Straße 65;;;;;;Glascontainer
Auf der Linge;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Auf der Zinnen;;;;;;Wertstoffcontainer,Glascontainer
Augustinerplatz;;;;;;Wertstoffcontainer,Glascontainer
Augustinerplatz Gerberau Unterflur;;;;;;Wertstoffcontainer,Glascontainer
Autobahn A5;;;;;;Wertstoffcontainer,Glascontainer
Auwaldstraße;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Auwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Auwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Auwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Auwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Badenweilerstr.;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer
Badenweilerstr.;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Basler Straße;;;;;;Wertstoffcontainer,Glascontainer
Basler Straße;;;;;;Wertstoffcontainer,Glascontainer
Bebelstraße;;;;;;Wertstoffcontainer,Glascontainer
Belchenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Berner Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Besanconallee;;;;;;Wertstoffcontainer,Glascontainer
Bismarckallee;;;;;;Wertstoffcontainer,Glascontainer
Bismarckallee;;;;;;Wertstoffcontainer,Glascontainer
Bissierstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Bissierstraße;;;;;;Wertstoffcontainer,Glascontainer
Bissierstraße;;;;;;Wertstoffcontainer,Glascontainer
Bozener Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Brunnstubenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Bugginger Straße;;;;;;Wertstoffcontainer,Glascontainer
Bugginger Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Burgmatt;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Charlottenburger Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Christoph-Mang-Straße;;;;;;Wertstoffcontainer,Glascontainer
Colmarer Straße;Colmarer Straße 6;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Deichelweiherweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Denzlinger Str.;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Denzlinger Str.;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Dietenbachstraße;;;;;;Wertstoffcontainer,Glascontainer
Dreikönigstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Dreikönigstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Ebneter Straße;;;;;;Wertstoffcontainer,Glascontainer
Egertenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Eichendorffweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Eisenbahnstraße;;;;;;Wertstoffcontainer,Glascontainer
Elefantenweg;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Elektrokleingerätecontainer
Elisabeth-Geissler-Ruckmich-Str.;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Elsässer Straße;;;;;;Wertstoffcontainer,Glascontainer
Elsässer Straße;;;;;;Wertstoffcontainer,Glascontainer
Elsässer Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Elsässer Straße;Elsässer Straße 6;;;;;Wertstoffcontainer,Glascontainer
Engelbergerstraße;;;;;;Wertstoffcontainer,Glascontainer
Engelbergerstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Engelstraße;;;;;;Wertstoffcontainer,Glascontainer
Engesser Straße;;;;;;Wertstoffcontainer,Glascontainer
Engesser Straße;;;;;;Wertstoffcontainer,Glascontainer
Ensisheimer Str.;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Eschholzstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Eschholzstraße;;;;;;Wertstoffcontainer,Glascontainer
Europaplatz;;;;;;Wertstoffcontainer,Glascontainer
Falkenbergerstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Fehrenbachallee;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Fehrenbachallee;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Feldbergstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Ferdinand-Weiß-Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Ferrandstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Fichtestraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Fischermatte;;;;;;Wertstoffcontainer,Glascontainer
Franz-Geiler-Platz;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Freiaustraße;;;;;;Wertstoffcontainer,Glascontainer
Freiburger Straße;;;;;;Wertstoffcontainer,Glascontainer
